word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
F UW TH,3,-13.241251964157085,nan,-15.818582958917613,nan,-15.823422652396088,nan,1.1233978298853322,nan,1.1233400388870447,nan,1.0010784481128672,nan,1.0010922208680302,nan
G IY TH,3,-12.350843279762106,nan,-13.536086798085165,nan,-13.55608673083657,nan,1.099815250133684,nan,1.099789720901074,nan,1.0002711391718635,nan,1.000327391182561,nan
Z IY TH,3,-12.54138003581875,nan,-18.327872525649955,nan,-18.289397368387686,nan,1.0739619867755774,nan,1.0739710146504144,nan,1.0002711391718635,nan,1.000327391182561,nan
Y AA G,3,-10.626440292334635,nan,-14.55696128369506,nan,-14.54613353248616,nan,1.1991895948054194,nan,1.1990282181651608,nan,1.0017247118096475,nan,1.001704819236071,nan
L ER Z,3,-11.706220260493993,nan,-13.30125469402594,nan,-13.294103530063442,nan,1.0871417593775523,nan,1.087132325659775,nan,1.0000356798801155,nan,1.0001045457633828,nan
JH AY P,3,-13.810926878064697,nan,-17.15759543517803,nan,-16.513764275514283,nan,1.0481099852171614,nan,1.0481528856876527,nan,1.0013169616919084,nan,1.0013178170656907,nan
CH AH Z,3,-12.347478781179973,nan,-13.676039500705116,nan,-13.693159152173711,nan,1.1513216484479996,nan,1.151224611738301,nan,1.0028214856462754,nan,1.0027429306732465,nan
CH EY JH,3,-15.049284754941112,nan,-15.582587528098282,nan,-15.61814997215606,nan,1.0878911580101294,nan,1.0878813555193052,nan,1.0002915476155119,nan,1.000347568951782,nan
Z IY SH,3,-12.673687369980751,nan,-18.766975063208413,nan,-18.725617712554246,nan,1.0752014801326677,nan,1.07520868628066,nan,1.0003873416740907,nan,1.0004374385029087,nan
Z UW V,3,-12.124538094567786,nan,-21.875042691008275,nan,-21.696398168068253,nan,1.1206247426369726,nan,1.1205701274167523,nan,1.001352641572024,nan,1.001351748727324,nan
DH AY P,3,-11.435849719405475,nan,-15.346401949795068,nan,-15.17726401094865,nan,1.1114751361452724,nan,1.1114333387461495,nan,1.001352641572024,nan,1.001351748727324,nan
S ER K,3,-10.90058237972367,nan,-13.864703817465205,nan,-13.861635687756548,nan,1.1336842456941938,nan,1.1336072036614808,nan,1.000892968570296,nan,1.000917983322742,nan
B ER S,3,-11.361430435428336,nan,-12.424897792255454,nan,-12.431968367986924,nan,1.1230174022600548,nan,1.1229538862767547,nan,1.0011345364366309,nan,1.001146330298885,nan
TH AH Z,3,-12.119060234729002,nan,-13.218827130201415,nan,-13.233295808652917,nan,1.1570981269094838,nan,1.1569933689932166,nan,1.002750125886044,nan,1.0026750673499796,nan
