,SoundOrthography,Klattbet,Arpabet,List,Contrast,Source,Unigram,Bigram
69,bap,b@p,B AE P,High,Bigram,JL,1.1677,1.0107
84,beel,bil,B IY L,High,Bigram,JL,1.1567,1.0049
106,beese,bis,B IY S,High,Bigram,JL,1.1618,1.004
6,berse,bXs,B ER S,Low,Bigram,JL,1.139,1.0017
47,bice,bYs,B AY S,Low,Bigram,JL,1.1643,1.0037
122,bul,bxl,B AH L,High,Bigram,JL,1.1671,1.0103
91,chan,C@l,CH AE L,High,Bigram,JL,1.162,1.0107
64,cheedh,CiD,CH IY DH,Low,Bigram,JL,1.0438,1.0009
24,cheen,Cin,CH IY N,Low,Bigram,JL,1.1368,1.0036
19,cherdge,CXJ,CH ER JH,Low,Bigram,JL,1.0287,1
37,cherg,CXg,CH ER G,Low,Bigram,JL,1.0358,1
83,cherth,CXT,CH ER TH,Low,Bigram,JL,1.0253,1
78,chudge,CxJ,CH AH JH,Low,Bigram,JL,1.0619,1.0005
71,chun,Cxn,CH AH N,High,Bigram,JL,1.1472,1.0111
39,chush,CxS,CH AH SH,Low,Bigram,JL,1.0588,1.0002
132,chutch,CxC,CH AH CH,Low,Bigram,JL,1.0591,1.0001
15,deek,dik,D IY K,High,Bigram,JL,1.1371,1.0052
88,dees,dis,D IY S,High,Bigram,JL,1.1624,1.0048
105,deet,dit,D IY T,High,Bigram,JL,1.1496,1.0053
112,dep,dEp,D EH P,High,Bigram,JL,1.1618,1.01
55,derse,dXs,D ER S,Low,Bigram,JL,1.1396,1.0016
36,dheedh,DiD,DH IY DH,Low,Bigram,JL,1.0378,1.0005
22,dheeg,Dig,DH IY G,Low,Bigram,JL,1.0526,1.0008
77,dheetch,DiC,DH IY CH,Low,Bigram,JL,1.0427,1.0008
7,didge,dIJ,D IH JH,High,Bigram,JL,1.1588,1.0164
29,didh,dID,D IH DH,High,Bigram,JL,1.1511,1.0157
113,dipe,dYp,D AY P,High,Bigram,JL,1.1232,1.0048
63,dite,dYt,D AY T,High,Bigram,JL,1.1521,1.0068
120,dith,dIT,D IH TH,High,Bigram,JL,1.1554,1.0163
18,dizh,dIZ,D IH ZH,High,Bigram,JL,1.1497,1.0155
116,feek,fik,F IY K,High,Bigram,JL,1.1319,1.0041
56,fees,fis,F IY S,Low,Bigram,JL,1.1572,1.0037
28,ferse,fXs,F ER S,Low,Bigram,JL,1.1344,1.0019
89,fert,fXt,F ER T,Low,Bigram,JL,1.1216,1.0008
34,fike,fYk,F AY K,High,Bigram,JL,1.1344,1.0047
57,ful,fxl,F AH L,High,Bigram,JL,1.1625,1.0096
100,gace,ges,G EY S,High,Bigram,JL,1.134,1.0042
38,gaud,gWd,G AW D,Low,Bigram,JL,1.0737,1.0006
17,gaur,gWr,G AW R,Low,Bigram,JL,1.1141,1.0004
119,gauz,gWz,G AW Z,Low,Bigram,JL,1.0558,1.0007
62,geech,giC,G IY CH,Low,Bigram,JL,1.0658,1.0007
16,geedge,giJ,G IY JH,Low,Bigram,JL,1.0686,1.0006
50,geedh,giD,G IY DH,Low,Bigram,JL,1.0609,1.0004
101,gerg,gXg,G ER G,Low,Bigram,JL,1.0529,1.0001
97,goove,guv,G UW V,Low,Bigram,JL,1.0717,1.0008
102,hace,hes,HH EY S,High,Bigram,JL,1.1474,1.004
23,hane,hen,HH EY N,High,Bigram,JL,1.1647,1.004
109,heen,hin,HH IY N,High,Bigram,JL,1.1673,1.0043
49,hice,hYs,HH AY S,High,Bigram,JL,1.1525,1.0045
117,huss,hxs,HH AH S,Low,Bigram,JL,1.1604,1.0014
123,jerth,JXT,JH ER TH,Low,Bigram,JL,1.0302,1.0001
60,junn,Jxn,JH AH N,High,Bigram,JL,1.1521,1.0111
21,kade,ked,K EY D,High,Bigram,JL,1.1599,1.0043
128,kerm,kXm,K ER M,Low,Bigram,JL,1.1511,1.0014
20,lale,lel,L EY L,High,Bigram,JL,1.137,1.0048
25,mab,m@b,M AE B,High,Bigram,JL,1.1626,1.0126
104,mape,mep,M EY P,High,Bigram,JL,1.1235,1.0045
108,mav,m@v,M AE V,High,Bigram,JL,1.1602,1.012
79,mazz,m@z,M AE Z,High,Bigram,JL,1.1567,1.0108
44,mern,mXn,M ER N,Low,Bigram,JL,1.1623,1.0008
10,merse,mXs,M ER S,Low,Bigram,JL,1.145,1.0021
72,mide,mYd,M AY D,High,Bigram,JL,1.1295,1.005
81,mubb,mxb,M AH B,High,Bigram,JL,1.1254,1.0065
48,nace,nes,N EY S,High,Bigram,JL,1.1318,1.0047
66,nane,nen,N EY N,High,Bigram,JL,1.1491,1.0047
80,naud,ncd,N AO D,Low,Bigram,JL,1.0783,1.0008
125,nawd,nWd,N AW D,Low,Bigram,JL,1.0715,1.0007
70,nawng,ncG,N AO NG,Low,Bigram,JL,1.052,1.0012
2,neen,nin,N IY N,High,Bigram,JL,1.1517,1.0047
53,pake,pek,P EY K,High,Bigram,JL,1.1671,1.0046
3,pame,pem,P EY M,High,Bigram,JL,1.163,1.0042
94,pape,pep,P EY P,High,Bigram,JL,1.1507,1.0043
111,peem,pim,P IY M,Low,Bigram,JL,1.1656,1.0035
40,perb,pXb,P ER B,Low,Bigram,JL,1.1194,1.0036
12,perd,pXd,P ER D,Low,Bigram,JL,1.1314,1.0035
127,perv,pXv,P ER V,Low,Bigram,JL,1.117,1.0039
98,rame,rem,R EY M,High,Bigram,JL,1.1287,1.0047
130,reeg,rig,R IY G,High,Bigram,JL,1.0998,1.005
43,rees,ris,R IY S,High,Bigram,JL,1.1607,1.0062
13,reet,rit,R IY T,High,Bigram,JL,1.1479,1.0067
95,reeze,riz,R IY Z,High,Bigram,JL,1.102,1.0059
45,rep,rEp,R EH P,High,Bigram,JL,1.1601,1.0114
85,ridh,rID,R IH DH,High,Bigram,JL,1.1494,1.0176
51,rish,rIS,R IH SH,High,Bigram,JL,1.154,1.0183
26,rith,rIT,R IH TH,High,Bigram,JL,1.1537,1.0182
58,rizh,rIZ,R IH ZH,High,Bigram,JL,1.148,1.0174
107,rizz,rIz,R IH Z,High,Bigram,JL,1.1664,1.0213
75,rull,rxl,R AH L,High,Bigram,JL,1.166,1.0081
110,seeg,sig,S IY G,Low,Bigram,JL,1.1521,1.0034
76,seeve,siv,S IY V,High,Bigram,JL,1.1578,1.0042
74,serd,sXd,S ER D,Low,Bigram,JL,1.1494,1.001
31,serg,sXg,S ER G,Low,Bigram,JL,1.1293,1.001
5,serk,sXk,S ER K,Low,Bigram,JL,1.1649,1.0011
115,serm,sXm,S ER M,Low,Bigram,JL,1.1608,1.0014
96,shudge,SxJ,SH AH JH,Low,Bigram,JL,1.0627,1.0008
8,shutch,SxC,SH AH CH,Low,Bigram,JL,1.0599,1.0004
99,sibe,sYb,S AY B,High,Bigram,JL,1.1627,1.0043
126,sive,sYv,S AY V,High,Bigram,JL,1.1603,1.0047
33,sudge,sxJ,S AH JH,High,Bigram,JL,1.1554,1.0053
67,sugg,sxg,S AH G,High,Bigram,JL,1.1625,1.0055
131,sush,sxS,S AH SH,High,Bigram,JL,1.1523,1.005
61,tace,tes,T EY S,High,Bigram,JL,1.1525,1.0042
32,tem,tEm,T EH M,High,Bigram,JL,1.1668,1.011
92,tert,tXt,T ER T,Low,Bigram,JL,1.1195,1.0006
54,theen,Tin,TH IY N,Low,Bigram,JL,1.1347,1.0039
103,therth,TXT,TH ER TH,Low,Bigram,JL,1.0232,1.0001
68,thudge,TxJ,TH AH JH,Low,Bigram,JL,1.0598,1.0005
46,thush,TxS,TH AH SH,Low,Bigram,JL,1.0567,1.0002
118,thutch,TxC,TH AH CH,Low,Bigram,JL,1.057,1.0001
9,tice,tYs,T AY S,Low,Bigram,JL,1.1576,1.0035
41,tull,txl,T AH L,High,Bigram,JL,1.1604,1.0086
35,vate,vet,V EY T,High,Bigram,JL,1.1176,1.0042
4,veen,vin,V IY N,High,Bigram,JL,1.1503,1.004
59,vern,vXn,V ER N,Low,Bigram,JL,1.1275,1.0006
42,veydh,veD,V EY DH,Low,Bigram,JL,1.0547,1.0013
27,vike,vYk,V AY K,High,Bigram,JL,1.1102,1.0055
90,vire,vYr,V AY R,High,Bigram,JL,1.1351,1.0044
124,vite,vYt,V AY T,High,Bigram,JL,1.1227,1.0059
93,wace,wes,W EY S,High,Bigram,JL,1.1283,1.0044
129,wudge,wxJ,W AH JH,Low,Bigram,JL,1.0733,1.0007
73,wush,wxS,W AH SH,Low,Bigram,JL,1.0702,1.0004
87,wutch,wxC,W AH CH,Low,Bigram,JL,1.0705,1.0003
52,yawd,ycd,Y AO D,Low,Bigram,JL,1.0624,1.0006
1,yawg,ycg,Y AO G,Low,Bigram,JL,1.0423,1.0009
86,yawng,ycG,Y AO NG,Low,Bigram,JL,1.0361,1.001
30,yerch,yXC,Y ER CH,Low,Bigram,JL,1.0249,1.0001
11,yerg,yXg,Y ER G,Low,Bigram,JL,1.0348,1.0001
114,yerth,yXT,Y ER TH,Low,Bigram,JL,1.0243,1.0001
65,yerv,yXv,Y ER V,Low,Bigram,JL,1.0405,1.0005
82,yudghe,yxJ,Y AH JH,Low,Bigram,JL,1.0609,1.0005
121,yush,yxS,Y AH SH,Low,Bigram,JL,1.0578,1.0002
14,yutch,yxC,Y AH CH,Low,Bigram,JL,1.0581,1.0001
